,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
0,Goan prawn & coconut curry with cumin rice,15,15,66,Indian,seafood,shrimp,0,0,0,0,1,0,816.34,20.41,12.38,121.94,113.54,7,161,313.21,33.01,61.88,1.02,15.55,491.43,1.67,1609.84,1.75,140.19,0.2,4.16,8.41,3.35,0.31,0.95,5.16,0,82.59,194.9,678.57,194,2360.8,0
1,Slow Cooker Red Lentil & Chickpea Curry,15,480,44,Indian,,,0,0,0,0,0,0,338.97,6.5,4.68,54.73,37.54,5.58,0,963.58,15.37,2.34,0.86,5.34,291.02,1.22,883.4,1.35,91.78,0.15,0.44,17.19,2.68,0.46,0.43,4.66,0,10.34,77.06,210.57,30.45,405.83,0
2,One Pot Curry Chicken and Rice,10,20,18,Indian,chicken,chicken breast,1,0,0,0,0,0,518.82,20.72,12.04,40.45,39.35,1.1,111.21,1228.02,41.49,19.15,1.38,62.15,474.58,2.99,851.4,1.08,87.38,0.27,1.36,1.1,1.96,0.18,0.31,3.4,0.36,4.46,45.65,20.74,2.78,69.86,0.17
3,Penang prawn & pineapple curry,25,40,22,Indian,seafood,shrimp,0,0,0,0,1,0,378.77,27.65,14.1,29.22,24.61,17.26,48.3,51.62,9.13,11.24,0.26,2.25,162.08,0.44,499.21,2.14,66.53,0.06,5.55,4.62,1.18,0.16,0.45,3.37,0,3.38,79.42,142.43,75.26,115.01,0
4,Creamy chicken & mango curry,10,60,25,Indian,chicken,chicken thighs,1,0,0,0,0,0,494.68,21.35,8.16,24.8,21.93,14.07,217.74,407.81,47.78,14.92,1.24,54.1,481.74,2.93,931.7,0.25,77.79,0.53,3.07,2.87,3.83,0.29,0.32,3.45,1.45,10.21,71.01,53.25,30.49,3175.6,0
5,Homemade Thai Yellow Curry Paste,-1,-1,7,Indian,,,0,0,0,0,0,0,90.2,0.68,0.11,19.76,17.04,6.16,0,1175.48,2.64,0.43,0.41,4.3,68.38,0.24,281.97,0.85,23.79,0.05,0.55,2.73,0.63,0.08,0.14,2.15,0,5.85,78.94,16.31,19.19,118.19,0
6,Quick Curry Powder from Scratch,5,0,47,Indian,,,0,0,0,0,0,0,66.59,2.97,0.34,12.22,5.77,0.31,0,26.92,2.5,0.74,0.12,3.3,71.92,0,337.35,1.42,57.31,0.06,0.64,6.45,0.91,0.05,0.19,5.78,0,5.52,121.52,0,3.4,348.26,0
7,One Pan Chicken Meatballs in Pumpkin Curry Sauce,15,30,23,Indian,chicken,ground chicken,1,0,0,0,0,0,596.37,27.82,12.02,58.1,51.88,8.06,145.11,774,28.05,9.28,0.94,19.05,376.77,2.07,1053.02,1.25,91.75,0.46,2.74,6.22,2.99,0.3,0.3,3.7,0.73,39.04,69.41,61.42,51.47,11474.09,0.22
8,Curry Pizza with Veggies,10,8,12,Indian,,,0,0,0,0,0,0,755.92,22.02,11.98,107.54,101.53,8.34,44.24,1708.57,32.84,1.02,0.23,10.98,255.88,0.61,444.94,0.26,35.46,0.25,1.41,6.01,2.04,0.08,0.12,6.87,1.28,31.24,501.53,47.16,39.7,796.17,0.22
9,Overnight Curried Chicken with Brown Rice,30,85,18,,chicken,chicken thighs,1,0,0,0,0,0,333.61,10.74,2.94,31.63,29.62,1.65,107.73,282.18,26.46,9.07,0.77,25.84,339.08,1.97,504.9,1.44,82.19,0.26,0.96,2.01,2.61,0.27,0.22,2.03,0.8,12.54,38.72,23.54,21.23,1115.11,0
10,Lentil Curry,20,60,28,Indian,,,0,0,0,0,0,0,435.47,25.23,17.23,43.56,26.49,10.52,0,734.46,14.37,2.89,0.5,9.98,311.41,1.31,976.14,1.78,108.86,0.16,2.43,17.08,2.86,0.46,0.63,6.52,0,12.33,103.14,218.01,17.05,790.87,0
11,Curried kale & chickpea soup,10,25,82,,,,0,0,0,0,0,0,445.18,13.18,6.89,71.48,51.86,10.17,0,1710.41,16.08,2.31,1.5,7.41,313.68,1.64,1205.17,2.98,140.61,0.42,2.37,19.62,2.57,0.3,0.63,8.39,0,320.83,383.66,134.54,93.41,22843.56,0
12,Curry Chicken Salad,15,0,32,Indian,chicken,chicken breast,1,0,0,0,0,0,461.9,25.72,3.4,18.57,16.53,12.28,96.39,352.26,38.13,15.96,0.82,32.31,331.45,1.24,519.72,0.62,64.69,0.19,0.57,2.05,1.7,0.14,0.35,2.09,0.39,23.45,52.29,30.82,2.69,184.47,0
13,Thai Green Curry with Chicken,5,30,22,Indian,chicken,chicken thighs,1,0,0,0,0,0,422.28,29.38,22.22,19.2,14.56,6.07,107.73,535.07,26.79,8.24,0.91,27.14,373.25,1.93,911.8,1.18,112.36,0.33,1.28,4.63,2.81,0.24,0.43,6.46,0.73,48.22,95.99,67.81,91.53,1876.64,0
14,Summer Veggie Curry,5,15,20,Indian,,,0,0,0,0,0,0,428.01,28.83,24.26,40.55,34.11,10.7,0,289.07,7.47,3.07,0.55,6.9,251.59,0.92,823.06,2.35,113.93,0.22,0.47,6.44,1.86,0.22,0.46,3.16,0,6.46,72.22,67.86,35.7,1582.86,0
15,Thai Panang Curry w/ Tender Beef Short Ribs,10,0,10,Indian,seafood,belacan,0,0,0,0,1,0,471.82,38.25,21.38,11.66,9.89,4.12,87.6,622.36,22.72,5.92,0.52,17.74,271.82,0.81,582.33,0.79,68.92,0.2,1.11,1.78,5.26,0.1,0.31,5.49,2.36,10.98,78.98,33.7,19.58,629.48,0
16,Jerk sweet potato & black bean curry,50,45,25,Indian,,,0,0,0,0,0,0,170.18,3.71,0.41,32.84,27.16,10.76,0,901.56,3.34,1.65,0.44,1.64,85.57,0.99,629.33,0.5,47.34,0.13,2.84,5.68,0.66,0.14,0.33,2.1,0,8.06,78.73,29.46,29.82,15234.4,0
17,Curried Chickpeas and Vegetables,-1,-1,74,,chicken,whole chicken,1,0,0,0,0,0,504.33,11.63,1.24,88.76,69.24,10.85,1.13,206.37,18.23,5.62,1.13,8.5,387.08,1.33,1792.44,3.17,162.66,0.28,3.96,19.52,3.09,0.48,0.93,9.31,0,23.08,185.79,227.8,64.1,4906.14,0
18,Creamy Curry Chicken With Yellow Rice,-1,-1,8,Indian,,,0,0,0,0,0,0,347.6,30.21,19.2,20.52,17.41,9.7,0,189.85,4.37,1.77,0.25,1.39,144.07,0.45,578.86,1.09,72.9,0.07,2.43,3.11,0.97,0.12,0.41,5.45,0,11.1,78.68,34.47,14.44,205.53,0
19,Cozy Cauliflower Curry,20,25,10,Indian,,,0,0,0,0,0,0,197.18,15.08,11.62,15.68,10.91,7.35,0,596.45,4.12,1.53,0.29,4.76,115.55,0.76,572.76,0.94,47.95,0.08,1.4,4.76,0.82,0.11,0.29,2.46,0,18.24,60.37,62.59,43.41,418.98,0
20,Creamy Coconut Curry with Shrimp and Corn,10,15,8,Indian,seafood,shrimp,0,0,0,0,1,0,308.25,22.02,18.63,11.04,10.07,2.81,146.53,446.41,21.56,1.36,0.09,0,315.8,0.44,565.65,0.8,87.58,0.04,0.2,0.97,1.93,0.09,0.58,3.67,0,5.65,80.72,31.13,9.95,212.36,0
21,Lamb masala meatball curry,20,30,20,Indian,lamb,ground lamb,0,0,1,0,0,0,503.6,38.12,19.57,21.43,14.74,7.98,74.27,331,20.98,7.46,0.4,22.71,244.82,1.11,703.77,0.83,66.7,0.3,2.05,6.69,4.17,0.22,0.45,4.02,2.33,12.97,94.21,38.77,15.92,229.91,0
22,Pork vindaloo,15,55,42,Indian,pork,pork shoulder,0,0,0,1,0,0,367.45,13.28,4.25,25.63,21.59,5.86,104.7,302.28,34.61,8.14,0.89,49.44,384,1.49,863.54,1.29,64.33,0.6,0.9,4.03,5.56,1.43,0.3,3.84,1.28,7.76,88.76,27.82,9.57,947.58,0
23,"Vietnamese Chickpea, Sweet Potato, and Lemongrass Curry",-1,-1,30,Vietnamese,,,0,0,0,0,0,0,401.15,20.63,16.11,48.2,38.03,8.76,0,100.81,10.67,1.54,0.38,4.12,262.76,1.12,808.94,2.01,104.14,0.13,1.01,10.17,2.15,0.2,0.62,6.2,0,7.5,99.08,171.57,5.83,13452.07,0
24,Instant Pot Coconut Curry Chicken,10,20,18,Indian,chicken,chicken thighs,1,0,0,0,0,0,485.33,31.49,20.57,16.4,14.54,1.64,161.59,753.47,36.29,10.56,0.95,40.95,443.14,2.38,768.76,1.17,102.34,0.35,1.65,1.87,3.48,0.21,0.38,6.22,1.09,27.05,76.72,38.34,27.09,718.76,0
25,Salmon Coconut Curry with Spinach and Chickpeas,5,20,100,Indian,seafood,salmon fillets,0,0,0,0,1,0,462.61,21.8,8.83,23.13,16.84,1.56,93.55,774.53,40.68,13.98,2.08,65.18,459.37,3.23,1275.68,1.35,113.81,0.75,1.26,6.29,2.13,0.47,0.67,4.08,5.41,175,106.99,145.2,28.4,3522.64,0
26,Massaman Beef Curry,-1,-1,52,Indian,beef,steak,0,1,0,0,0,0,797.48,59.32,30.84,33.03,26.28,7.38,91.5,819.16,40.34,12.12,1.05,39.4,449.57,0.8,1241.65,2.59,160.92,0.43,2.33,6.75,9.23,0.38,0.64,8.49,2.53,8.32,124.77,88.92,20.02,2421.29,0
27,One-Pot Curry Tomato Chicken & Potatoes,0,0,33,Indian,chicken,chicken thighs,1,0,0,0,0,0,372.32,11.37,2.6,20.2,16.05,6.63,214.7,984.17,47.44,15.03,1.33,54.33,516.2,3.29,1207.02,0.5,96.89,0.51,2.13,4.15,4.11,0.35,0.44,4.83,1.59,77.25,96.67,44.24,21.78,620.78,0
28,French bean & duck Thai curry,20,105,60,Thai,other,duck breast,0,0,0,0,0,1,656.38,33.7,24.31,41.56,38.23,9.1,130.51,836.13,48.81,7.67,1.15,41.13,540.15,1.6,1358.69,0.98,207.5,0.58,0.29,3.33,1.93,0.97,1.26,14.87,22.08,5.03,164.59,36.03,37.29,3816.85,0
29,Homemade Curry Powder,5,0,65,Indian,,,0,0,0,0,0,0,120.51,4.39,0.59,21.09,12.13,0.33,0,27.05,5.91,1.05,0.17,4.14,118.59,0,461.53,3.02,93.84,0.11,0.38,8.96,1.46,0.12,0.34,12.13,0,4.67,169.85,9.51,3.75,120.72,0
30,How to Make Pakistani Beef Kofta Curry,20,30,10,Indian,beef,ground chuck,0,0,0,0,0,1,398.68,31.01,8.24,12.24,9.68,6.25,64.47,275.61,17.74,4.12,0.46,14.12,234.33,0.72,536.05,0.23,40.34,0.22,2.93,2.56,4.05,0.11,0.17,2.48,1.93,18.39,146.38,42.17,32.25,572.01,0
31,Easy Vegetable Curry with Tofu,10,10,55,Indian,,,0,0,0,0,0,0,397.44,24.42,19.35,36.32,28.5,12.62,0,696.46,15.83,3.63,0.64,3.58,351.17,1.23,1206.07,1.74,142.54,0.29,3.09,7.82,2.28,0.31,0.6,7.2,0,179.67,159.04,151.52,169.33,14700.56,0
32,Cashew curry,20,60,44,Indian,chicken,chicken breast,1,0,0,0,0,0,626.3,31.54,12.24,36.79,30.69,14.52,112.22,769.26,52.8,21.42,1.77,67.46,721.44,3.21,1597.65,1.01,189.62,0.57,2.37,6.11,3.92,0.45,1.17,5.51,0.69,23.88,152.39,69.4,37.49,1019.95,0.18
33,Comforting Beef Curry,-1,-1,29,Indian,beef,steak,0,1,0,0,0,0,476.31,20.79,8.46,43.5,39.27,12.83,77.05,453.57,30.31,8.31,0.8,33.34,245.86,0.53,803.31,0.41,57.71,0.42,2.36,4.23,6.97,0.25,0.34,4.16,2.08,9.46,74.95,40.83,51.12,2142.24,0
34,Butternut squash curry with crispy chickpeas,20,60,38,Indian,,,0,0,0,0,0,0,465.3,19.93,6.48,65.23,50.66,15.17,0,897.27,13.53,4.1,0.64,5.37,306.4,1.38,1444.79,1.96,153.17,0.14,6.11,14.57,2.29,0.4,0.66,5.86,0,22.36,187.91,257.52,65.58,25170.35,0
35,Curried Chicken Spread,-1,-1,0,,chicken,chicken breast,1,0,0,0,0,0,31.85,1.26,0.33,2.06,1.73,1.13,8.54,130.08,2.98,1.48,0.1,4.2,31.49,0.2,63.06,0.03,5.62,0,0,0.33,0,0,0,0,0,1.25,0,0,1.18,127.55,0
36,"Roast, curried celeriac chunks",-1,-1,4,,,,0,0,0,0,0,0,228.27,18.12,11.1,16.02,12.51,2.69,45.69,300.02,2.95,1.22,0.29,2.66,201.61,0.6,520.59,0.34,38.78,0.11,1.45,3.51,0.65,0.09,0.13,1.65,0,69.71,83.83,16.87,13.22,546.72,0
37,Bipins lamb methi curry,-1,-1,20,Indian,lamb,lamb,0,0,1,0,0,0,446.97,35.4,15.33,5.07,4.38,0.55,109.5,96.89,25.78,9.37,0.24,29.08,254.83,1.02,532.15,0.24,57.98,0.36,0.38,0.69,5.31,0.2,0.24,3.52,3.47,39.41,58.8,36.19,15.35,146.31,0
38,Katsu curry,-1,-1,14,Indian,,,0,0,0,0,0,0,487,26.37,21.63,59.41,53.01,10.7,0.7,46.03,8.85,1.3,0.21,7.15,146.07,0.47,554.33,1.29,56.89,0.1,0.47,6.4,1.03,0.1,0.36,2.51,0,18.84,66.25,40.95,11.48,6141.97,0
39,One-Skillet Chicken Green Curry with Rice,15,30,34,Indian,chicken,chicken thighs,1,0,0,0,0,0,589.71,34.8,20.62,49.77,43.34,7.05,89.84,564.54,24.24,7.13,0.82,26.01,390.58,2.44,1131.53,1.54,110.26,0.4,1.96,6.44,2.88,0.27,0.45,5.34,0.59,144.57,131.81,125.77,154.32,9948.14,0
40,30-Minute Thai Green Curry Tofu ,10,20,18,Indian,,,0,0,0,0,0,0,420.07,35.32,24.12,19,14.44,11.14,0,379.6,12.02,1.7,0.29,7.22,257.15,0.47,705.19,1.2,87.69,0.13,1.74,4.56,1.68,0.17,0.54,3.77,0,8.1,86.94,51.65,54.63,2804.11,0
41,Curried Chicken Salad with Apples,5,0,14,,chicken,chicken breast,1,0,0,0,0,0,142.77,2.8,0.93,9.68,8.02,7.08,50.03,358.55,19.54,7.92,0.4,16.94,184.87,0.77,302.96,0.1,28.41,0.15,0.59,1.67,0.93,0.07,0.06,1.13,0.36,3.9,76.45,11.5,4.08,85.07,0
42,Vegetable Curry,5,25,26,Indian,,,0,0,0,0,0,0,325.4,26.11,20.64,18.26,11.95,8.25,0,344.67,10.34,1.82,0.32,7.15,168.71,0.66,807.04,1.37,75.06,0.09,1.43,6.31,1.19,0.12,0.39,4.08,0,90.03,145.02,95.54,47.57,2293.72,0
43,Yellow Coconut Curry Chicken,15,25,17,Indian,chicken,chicken breast,1,0,0,0,0,0,358.24,19.96,13.54,26.04,22.9,5.55,48.38,245.2,22.22,11.11,0.95,25.32,322.64,1.49,989.27,0.84,82.17,0.17,1.46,3.14,1.36,0.16,0.35,4.49,0.27,10.32,64.36,35.15,9.08,5740.8,0
44,Beef and Tomato Curry Over Quinoa,-1,-1,32,Indian,beef,beef chuck roast,0,1,0,0,0,0,464.56,19.69,6.59,41.25,35.14,7.55,78.24,266.93,30.4,7.16,0.94,28.65,470.66,1.39,1078.18,1.24,138.94,0.38,3.59,6.11,10.33,0.34,0.57,6.51,3.1,12.22,97.46,108.88,21.31,373.41,0
45,Sweet and Spicy Curry Hummus,15,0,7,Middle Eastern,,,0,0,0,0,0,0,101.79,5.09,0.68,11.42,8.56,1.71,0,501.53,4.02,0.53,0.28,3.76,104.42,0.17,135.16,0.52,23.63,0.05,0,2.85,0.76,0.14,0.21,1.13,0,0,34.68,22.68,3.51,0,0
46,Sweet potato & pea curry,10,30,41,Indian,,,0,0,0,0,0,0,580.96,25.39,21.87,82.45,67.59,19.4,0,745.71,11.03,4.18,0.94,8.98,327.74,2.4,1656.73,1.91,138.58,0.24,0.81,14.86,2.28,0.42,0.82,5.01,0,20.65,133.36,93.33,52.3,34362.09,0
47,Cauliflower and Chickpea Curry with Spinach,10,25,21,Indian,,,0,0,0,0,0,0,332.38,16.22,13.71,35.44,28.93,1.99,0,657.42,7.49,0.88,0.68,2.79,142.04,0.59,372.5,1.61,68.14,0.08,0.47,6.51,1.19,0.12,0.25,2.42,0,109.31,82.34,80.64,10.99,3075.49,0
48,"Quick prawn, coconut & tomato curry",10,20,8,Indian,seafood,shrimp,0,0,0,0,1,0,275.88,18.9,16.05,9.38,6.9,2.97,140.88,344.96,20.08,0.56,0.08,0,261.29,0.2,459.86,0.76,48.93,0,0,2.48,1.74,0.03,0.56,2.06,0,0,87.16,17.4,6.64,1898.75,0
49,Slow cooker vegetable curry,-1,-1,65,Indian,,,0,0,0,0,0,0,476.71,14.72,12.21,73.39,58.77,17.38,0,407.94,13.61,6.28,0.81,5.36,259.6,1.28,1464.52,1.68,156.5,0.4,3.14,14.61,2.32,0.62,0.58,7.09,0,133.51,256.72,171.22,214.71,17348.95,0
50,30-Minute Chicken Green Curry,10,20,68,Indian,chicken,chicken breast,1,0,0,0,0,0,402.16,26.52,21.06,32.57,21.54,9.8,18.08,195.65,18.29,6.61,0.97,17.67,408.27,2.57,1587.27,1.65,141.36,0.46,3.5,11.03,2.45,0.33,0.53,6.87,0,337.88,224.24,239.78,316.25,13274.84,0
51,Simple Egg Curry,5,25,3,Indian,,,0,0,0,0,0,0,121.06,6.56,2,7.4,6.42,2.74,187.12,167.82,7.52,0.31,0.12,15.61,99.46,0.75,178.39,0.09,10.83,0.27,0.76,0.98,0.62,0.05,0.04,0.95,0.56,3.85,48.96,28.89,7.34,1822.09,1.1
52,Turkey Meatball Curry,15,30,14,Indian,other,ground turkey,0,0,0,0,0,1,497.76,34.7,23.06,19.86,16.6,8.31,103.29,673.12,31.1,12,1.12,35.09,394.28,1.44,709.88,1.13,77.95,0.26,0.62,3.26,2.96,0.13,0.36,3.23,0.68,13.38,54.75,43.8,25.41,1795.03,0.67
53,"Thai prawn, squash & pineapple curry",25,22,19,Indian,seafood,shrimp,0,0,0,0,1,0,390.97,24.28,19.81,27.42,21.68,15.49,122.27,663.7,20.98,2.74,0.31,8,304.7,0.52,871.3,1.09,107.49,0.09,1.56,5.74,2.18,0.18,0.73,3.5,0,5.52,151.13,44.79,25.9,11996.51,0
54,Vegan Chana Masala Curry,-1,-1,17,Indian,,,0,0,0,0,0,0,478.01,27.88,12.82,48.43,33.94,6.83,0,930.18,15.42,2.14,1.36,6.35,289.4,1.14,885.82,2.77,107.18,0.12,3.25,14.49,2.46,0.2,0.74,6.34,0,13.41,154.27,86.19,15.07,454.62,0
55,Creamy lentil & veggie curry,10,30,38,Indian,,,0,0,0,0,0,0,432.37,8.84,0.85,71.45,49.58,13.94,1.37,1133.79,19.31,2.99,0.72,7.58,362.58,2.3,1281.93,1.3,121.85,0.31,2.9,21.87,3.21,0.63,0.57,6.57,0.11,37.23,133.04,290.52,36.77,17444.08,0
56,Easy creamy vegetable curry,15,45,46,Indian,,,0,0,0,0,0,0,399.77,25.73,15.75,37.99,28.85,15.31,75.33,351.01,10.09,2.8,0.97,4.63,246.28,2.14,1569.97,1.2,116.2,0.54,2.52,9.14,1.76,0.28,0.38,3.31,0.11,192.49,175.34,210.87,169.16,16219.04,1.07
57,Slow cooker lamb curry,10,360,100,Indian,lamb,lamb,0,0,1,0,0,0,728.44,34.2,13.53,72.4,53.66,14.29,87.6,674.1,36.38,11.98,1.32,27.74,517.77,2.44,1480.84,3.18,177.97,0.57,3.15,18.74,6.93,0.61,0.86,9.41,2.77,162.7,312.57,175.72,61.84,7771.27,0
58,Crispy Air Fryer Curry Cauliflower,10,10,31,Indian,,,0,0,0,0,0,0,156.3,11.22,1.51,12.06,7.43,4.23,0,678.5,5.23,1.46,0.43,1.65,110.39,1.44,672.93,0.43,37.94,0.15,0.34,4.63,0.66,0.12,0.11,1.39,0,33.56,52.97,123,103.11,0,0
59,Minced Beef Curry,-1,-1,29,Indian,beef,ground chuck,0,0,0,0,0,1,513.84,31.6,11.72,25.67,17.47,9.01,106.5,293.68,32.49,8.81,0.82,26.34,377.47,0.96,984.53,1.28,85.29,0.39,1.9,8.2,7.82,0.33,0.37,7.22,3.21,30.9,116.57,72.48,43.26,1151.28,0
60,Indian Potato Curry,10,30,10,Indian,,,0,0,0,0,0,0,230.92,11.24,0.89,30.07,26.1,1.37,0,74.67,3.88,1.84,0.54,1.24,103.91,0.5,728.23,0.38,44.57,0.07,2.08,3.98,0.6,0.14,0.22,2.1,0,14.59,41.74,26.67,34.18,175.93,0
61,Thai Shrimp Curry,10,35,20,Indian,seafood,shrimp,0,0,0,0,1,0,710.14,63.65,55.79,25.4,19.61,2.51,91.29,487.2,19.53,2.24,0.27,1.08,375.4,0.69,962.15,2.52,86.39,0.03,0.19,5.8,2.71,0.1,0.97,5.15,0,4.61,83.13,55.94,27.56,2131.61,0
62,Next level Thai green curry,60,30,20,Indian,chicken,chicken thighs,1,0,0,0,1,0,320.06,7.68,1.91,23.84,21.37,6.93,203.78,998.26,38.41,10.4,1.04,41.78,375.75,2.32,745.08,0.79,83.68,0.38,0.62,2.48,3.16,0.23,0.23,3.7,1.13,24.34,82.63,39.53,50.05,481.58,0
63,One Pot Vegan Coconut Curried Brown Rice with Tofu,25,60,53,,,,0,0,0,0,0,0,436.14,10.61,5.68,72.53,66.19,13.05,0,519.25,12.88,5.42,0.57,10.98,333.56,1.73,691.94,2.74,132.77,0.31,1.41,6.34,2.64,0.46,0.6,3.22,0,17.95,81.89,58.15,38.9,4936.35,0
64,Spicy Coconut Basil Chicken Curry with Garden Vegetables,10,20,24,Indian,chicken,chicken thighs,1,0,0,0,0,0,648.69,41.22,24.02,45.1,38.65,9.59,107.73,178.68,30.15,8.97,0.99,39.69,456.82,2.39,1073.98,1.82,124.94,0.4,2.66,6.44,3.64,0.3,0.59,4.78,0.73,24.68,96.12,82.36,28.95,537.9,0
